Time,Cell
865.3,17
893.566,17
923.807,17
955.01,17
997.914,17
1033.019,17
1060.322,17
1091.525,17
1118.828,17
1196.836,17
1220.239,17
1253.393,17
1276.795,17
1313.849,17
1337.25,17
1395.757,17
1423.06,17
1450.364,17
1489.367,17
1528.372,17
1555.674,17
1586.878,17
1618.08,17
1664.881,17
1692.19,17
1731.193,17
1762.397,17
1844.305,17
1875.509,17
1920.364,17
1949.617,17
77.367,18
108.568,18
143.671,18
178.777,18
213.881,18
248.985,18
287.989,18
334.794,18
373.798,18
420.603,18
479.11,18
525.915,18
572.72,18
627.325,18
678.031,18
728.736,18
779.442,18
834.048,18
890.602,18
962.762,18
1044.67,18
1099.276,18
1208.488,18
1259.193,18
1321.6,18
1380.106,18
1446.413,18
1517.598,18
1598.529,18
1654.12,18
1719.443,18
1774.049,18
1832.556,18
1953.468,18
7.109,19
85.117,19
112.419,19
157.275,19
202.13,19
268.436,19
311.341,19
354.246,19
440.055,19
481.01,19
541.465,19
580.47,19
624.362,19
677.982,19
732.587,19
806.695,19
853.5,19
892.504,19
943.209,19
990.015,19
1075.824,19
1118.729,19
1177.234,19
1220.139,19
1302.048,19
1337.151,19
1383.957,19
1426.861,19
1477.567,19
1528.272,19
1578.978,19
1662.829,19
1699.89,19
1813.003,19
1846.156,19
1902.711,19
1941.716,19
49.964,20
71.416,20
92.868,20
124.071,20
146.706,20
174.777,20
213.781,20
248.885,20
280.089,20
311.291,20
346.395,20
381.499,20
420.503,20
459.508,20
506.313,20
541.416,20
596.023,20
635.027,20
672.087,20
724.737,20
755.94,20
810.546,20
869.052,20
904.155,20
958.761,20
993.865,20
1056.271,20
1091.376,20
1177.185,20
1208.388,20
1251.292,20
1296.147,20
1342.952,20
1415.11,20
1458.014,20
1498.969,20
1571.127,20
1629.634,20
1668.637,20
1711.542,20
1754.445,20
1801.251,20
1844.157,20
1906.563,20
1941.667,20
87.781,21
108.42,21
151.324,21
190.33,21
238.116,21
307.341,21
361.948,21
459.458,21
494.562,21
576.471,21
634.977,21
681.783,21
771.492,21
806.596,21
880.703,21
927.507,21
989.914,21
1040.62,21
1114.729,21
1169.334,21
1227.841,21
1275.735,21
1344.853,21
1436.513,21
1485.268,21
1539.873,21
1617.882,21
1665.669,21
1746.595,21
1820.705,21
1875.311,21
1972.822,21
6.96,22
159.077,22
244.886,22
303.393,22
371.651,22
436.007,22
521.816,22
564.721,22
638.828,22
693.435,22
744.14,22
833.849,22
876.754,22
935.26,22
993.766,22
1036.67,22
1091.277,22
1161.485,22
1206.34,22
1344.803,22
1387.708,22
1481.319,22
1532.024,22
1619.784,22
1656.837,22
1703.643,22
1742.645,22
1836.257,22
1910.366,22
1953.27,22
53.716,23
87.53,23
96.618,23
178.529,23
229.234,23
295.542,23
396.952,23
451.558,23
513.966,23
576.372,23
642.68,23
693.385,23
751.889,23
806.496,23
861.102,23
917.659,23
970.314,23
1017.119,23
1067.825,23
1136.087,23
1188.738,23
1305.75,23
1348.655,23
1395.458,23
1452.02,23
1504.671,23
1563.178,23
1609.983,23
1662.642,23
1726.995,23
1793.302,23
1859.61,23
1918.116,23
65.368,24
96.57,24
129.724,24
155.076,24
182.379,24
209.682,24
244.787,24
279.895,24
326.696,24
379.35,24
424.206,24
461.259,24
517.811,24
556.819,24
607.526,24
658.23,24
701.136,24
755.742,24
825.948,24
872.753,24
927.359,24
985.866,24
1044.373,24
1098.978,24
1153.583,24
1208.189,24
1274.497,24
1333.003,24
1391.509,24
1453.911,24
1524.123,24
1563.123,24
1625.534,24
1684.04,24
1758.148,24
1820.556,24
1882.962,24
1937.568,24
53.616,25
104.322,25
139.425,25
182.329,25
229.136,25
272.046,25
307.144,25
350.048,25
408.554,25
437.808,25
506.065,25
558.72,25
613.325,25
669.883,25
732.289,25
781.043,25
841.5,25
900.007,25
954.612,25
1017.02,25
1075.526,25
1135.978,25
1188.637,25
1258.845,25
1336.854,25
1395.361,25
1467.503,25
1547.477,25
1625.485,25
1691.792,25
1758.099,25
1851.71,25
1925.818,25
10.663,26
76.97,26
119.875,26
182.281,26
221.285,26
260.289,26
307.095,26
353.9,26
392.904,26
435.809,26
521.618,26
552.82,26
587.925,26
626.929,26
665.933,26
712.738,26
747.842,26
802.448,26
837.551,26
876.556,26
911.66,26
946.763,26
993.568,26
1032.573,26
1075.477,26
1118.382,26
