,,MAD Basal,MAD Apical,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
,morphology-data/GCs/Denizet-granule/Denizet2017/6c5ns3.CNG.swc,2.522155534,1.919938661,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.415915581,-0.458341949,-0.466332593,-0.086954695,-0.290197536,-0.558631957,-0.714946536,-0.845897444,0.516431013,0.150196351,0.156091494,0.761142671,-0.39233117,-0.409735885
,morphology-data/GCs/Denizet-granule/Denizet2017/5c6nd2.CNG.swc,2.522155534,1.921057649,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.208411945,0.101931534,-0.417037481,-0.086954695,-0.017896551,0.028725115,-0.195772278,-0.226096699,0.528291927,0.900064576,0.156091494,-0.02271318,-1.359718304,-0.59559308
,morphology-data/GCs/Denizet-granule/Denizet2017/13c4nd3.CNG.swc,2.522155534,1.926315383,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.22623542,0.481926073,-0.554653001,-0.086954695,0.122139538,0.424311555,0.271139923,-0.226096699,0.499085012,0.900064576,0.156091494,0.590632182,-1.076589817,-0.392544906
,morphology-data/GCs/Denizet-granule/Denizet2017/4c6ns1-D4.CNG.swc,2.522155534,1.928284286,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,0.423760026,-0.692654044,-0.401539396,-0.086954695,0.194093049,-0.647244938,-0.638529401,-0.226096699,0.555506396,-0.599671874,0.156091494,-0.429242361,-0.339132174,-0.364974467
,morphology-data/GCs/Denizet-granule/Denizet2017/12c2nd1.CNG.swc,2.522155534,1.931508236,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,-0.54828846,0.618130531,-0.518055115,-0.086954695,0.005691617,0.611749732,0.250379556,-0.226096699,0.209524002,-0.974603737,0.156091494,0.01143767,-0.537751573,-0.356216798
,morphology-data/GCs/Denizet-granule/Denizet2017/14c6ns1.CNG.swc,2.522155534,1.939887843,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,0.623131325,-0.51933877,-0.299588142,-0.086954695,-0.067517548,-0.521675166,-0.589115188,-0.226096699,0.782785887,0.900064576,0.156091494,0.292942077,0.631090278,-0.59559308
,morphology-data/GCs/Denizet-granule/Denizet2017/5c1ns2-D5.CNG.swc,2.522155534,1.949447723,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,1.191723215,0.066681805,-0.447660202,-0.086954695,0.294174811,0.145534759,-0.026645455,-0.226096699,0.327406485,-0.974603737,0.156091494,-0.068696166,0.045939722,-0.265072171
,morphology-data/GCs/Denizet-granule/Denizet2017/2c5nd1.CNG.swc,2.522155534,1.953781131,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,0.829334288,0.219290945,-0.370356504,-0.086954695,0.35960212,0.163376379,-0.054628613,-0.226096699,0.498780285,-0.974603737,0.156091494,-0.287480989,0.714767332,-0.245610684
,morphology-data/GCs/Denizet-granule/Denizet2017/12c3nd1.CNG.swc,2.522155534,1.961146742,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,1.270958232,1.016518053,-0.00344199,-0.158731582,-0.406207494,-0.086954695,0.017349739,-0.206941376,-0.41905972,0.393704047,0.42630213,0.000224506,0.156091494,-0.447504899,0.44823473,-0.136626361
,morphology-data/GCs/Denizet-granule/Denizet2017/4c2ns1.CNG.swc,2.522155534,1.96185255,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,-0.303185614,-0.204827381,-0.54456991,-0.086954695,0.036117902,-0.199121534,-0.338525594,0.393704047,0.032477591,1.274996438,0.156091494,0.348524352,-0.622324664,-0.301400278
,morphology-data/GCs/Denizet-granule/Denizet2017/16c6nd1-2.CNG.swc,2.522155534,1.963800426,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,-0.596145191,0.451852878,-0.584902274,-0.086954695,0.008090956,0.445093055,0.129635118,-0.226096699,0.387836202,-0.599671874,0.156091494,0.708709781,-0.713464426,-0.534613756
